school_id,school_name,year_school_opened,admission_type,governance,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,school_year
1010,John Bartram High School,1939,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
1020,West Philadelphia High School,1911,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
1030,High School of the Future,2006,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
1050,Paul Robeson High School for Human Services,2003,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
1100,William L. Sayre High School,1950,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
1130,William T. Tilden School,1927,Neighborhood,District,0,0,0,0,0,1,1,1,1,0,0,0,0,2018-19
1190,Motivation High School,2004,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
1200,John Barry School,2007,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
1230,William C. Bryant School,1903,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
1250,Joseph W. Catharine School,1937,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
1260,Benjamin B. Comegys School,1911,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
1280,Sadie Alexander School,2001,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
1290,Andrew Hamilton School,1970,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
1300,Avery D. Harrington School,1927,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
1340,Henry C. Lea School,1914,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
1350,William C. Longstreth School,1971,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
1360,Morton McMichael School,1963,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
1370,S. Weir Mitchell School,1916,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
